Fecha;año;mes;día;Tipo de Egreso;Nota-Observacion; Valor ;Grupo 1;Quien paga;De donde Paga;Actuals / FCST
1/03/2026;2026;3;1;Refrigerios y bienestar comercial;fritos; $100.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/03/2026;2026;3;15;Refrigerios y bienestar comercial;fritos; $100.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/04/2206;2206;4;1;Refrigerios y bienestar comercial;fritos; $100.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
25/02/2026;2026;2;25;Confección satélite;Capullo; $553.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
2/03/2026;2026;3;2;Tela;Kilo telas - tela hogar pupo; $555.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
4/03/2026;2026;3;4;Tela;Kilo telas - tela verde cali; $255.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
7/03/2026;2026;3;7;Nómina Yaneth;Liquidacion yaneth; $1.612.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
17/03/2026;2026;3;17;Estampado;Luis estampado; $125.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
25/03/2026;2026;3;25;Confección satélite;Capullo; $600.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
31/03/2026;2026;3;31;Impuestos comerciales;Industria y comercio; $2.000.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
1/04/2026;2026;4;1;Tela;abono kilotela; $2.046.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
6/04/2026;2026;4;6;Tela;abono kilotela; $1.093.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
8/04/2026;2026;4;8;manteniemiento equipos computo;mantenimiento jamer; $280.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
18/04/2026;2026;4;18;Tela;baratillo medellin; $180.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
23/04/2026;2026;4;23;Confección satélite;Capullo; $168.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
24/04/2026;2026;4;24;Tela;kilotelas; $3.350.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
27/04/2026;2026;4;27;manteniemiento equipos computo;memoria ram; $405.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
24/02/2026;2026;2;24;GASTOS CASA/PERSONALES;clelia flores; $420.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
26/05/2026;2026;5;26;Refrigerios y bienestar comercial;KFC; $40.000 ;GASTOS OPERACIONALES;Juan;BBVA;ACT
26/05/2026;2026;5;26;GASTOS CASA/PERSONALES;juan; $95.940 ;GASTOS CASA/PERSONALES;Juan;BBVA;ACT
26/05/2026;2026;5;26;GASTOS CASA/PERSONALES;juan; $21.500 ;GASTOS CASA/PERSONALES;Juan;BBVA;ACT
26/05/2026;2026;5;26;GASTOS CASA/PERSONALES;juan; $20.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
26/05/2026;2026;5;26;GASTOS CASA/PERSONALES;agua juan; $2.500 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
26/05/2026;2026;5;26;Tela;Pago Almacen SI SA; $2.572.704 ;COSTOS DIRECTOS;Juan;Bancolombia;ACT
27/05/2026;2026;5;27;Repuestos;zepelin  tirilla para colocar tallas; $9.500 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;efectivo;ACT
27/05/2026;2026;5;27;Energía almacen;afinia; $151.230 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
28/05/2026;2026;5;28;RE-BRANDING;dotaciones sagal - camisas dotacion oxford; $1.066.240 ;COSTOS DIRECTOS;Juan;Bancolombia;ACT
29/05/2026;2026;5;29;RE-BRANDING;Dota todo-jeans dama; $956.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
29/05/2026;2026;5;29;GASTOS CASA/PERSONALES;Juan-compras D1; $50.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
29/05/2026;2026;5;29;GASTOS CASA/PERSONALES;Clelia-acido; $53.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
29/05/2026;2026;5;29;Tela;Recudir SA-pago iterlon; $755.186 ;COSTOS DIRECTOS;Juan;Bancolombia;ACT
