Fecha;año;mes;día;Tipo de Egreso;Nota-Observacion; Valor ;Grupo 1;Quien paga;De donde Paga;Actuals / FCST
18/03/2026;2026;3;18;Tela;pago a TEJILAR; $6.051.780 ;COSTOS DIRECTOS;Clelia;BANCO BOGOTA;ACT
17/03/2026;2026;3;17;Tela;pago linda textil; $2.358.000 ;COSTOS DIRECTOS;Clelia;BANCOLOMBIA;ACT
23/04/2026;2026;4;23;Flyers;pago volantes publicidad; $140.000 ;COMERCIALES Y MARKETING;Juan;EFECTIVO;ACT
13/03/2026;2026;3;13;Cortadora circular;Compra de maquina cortadora circular; $820.000 ;INVERSIONES Y ACTIVOS;Juan;BBVA;ACT
1/01/2026;2026;1;1;Carro empresa;Compra Renault duster; $70.000.000 ;INVERSIONES Y ACTIVOS;Juan;BBVA;ACT
13/05/2026;2026;5;13;Refrigerios y bienestar comercial;refrigerios; $4.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
13/05/2026;2026;5;13;Domicilios mandados taller;transporte de mercancia; $5.000 ;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
16/03/2026;2026;3;16;Operarias;nomina-quincena; $4.033.625 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/04/2026;2026;4;1;Operarias;nomina-quincena; $4.726.208 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
9/04/2026;2026;4;9;Operarias;nomina-quincena; $1.243.800 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
16/04/2026;2026;4;16;Operarias;nomina-quincena; $2.785.662 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
2/05/2026;2026;5;2;Operarias;nomina-quincena; $4.701.521 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
14/05/2026;2026;5;14;Confección satélite;Capullo; $245.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
13/05/2026;2026;5;13;GASTOS CASA/PERSONALES;Pago clelia 50k busqueda lote coveñas; $50.000 ;GASTOS CASA/PERSONALES;Juan;NEQUI;ACT
14/05/2026;2026;5;14;GASTOS CASA/PERSONALES;Regalo Anita; $192.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
14/05/2026;2026;5;14;Tela;kilo tela ; $150.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
14/05/2026;2026;5;14;GASTOS CASA/PERSONALES;Oro clelia; $800.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
15/05/2026;2026;5;15;Refrigerios y bienestar comercial;Agua Juan; $5.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/05/2026;2026;5;15;Refrigerios y bienestar comercial;Proveedor Verna Vega; $79.000 ;GASTOS OPERACIONALES;Juan;NEQUI;ACT
15/05/2026;2026;5;15;Operarias;nomina-quincena; $3.135.058 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/01/2026;2026;1;15;Bordadora-cindy;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/05/2026;2026;5;15;Coordinador de taller-Betty;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/05/2026;2026;5;15;hojas;fotocopias - clelia ; $7.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
16/05/2026;2026;5;16;Cuellos;Pago cuellos SR Emilio; $500.000 ;COSTOS DIRECTOS;Clelia;BANCOLOMBIA;ACT
16/05/2026;2026;5;16;Gasolina;Gasolina Nissan Qashqai; $178.000 ;LOGÍSTICA Y TRANSPORTE;Juan;BBVA;ACT
19/05/2026;2026;5;19;Internet almacen;Pago internet almacen; $70.693 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BBVA;ACT
19/05/2026;2026;5;19;Plan celular clelia/juan;pago celular juan; $34.989 ;GASTOS OPERACIONALES;Juan;BBVA;ACT
19/05/2026;2026;5;19;Refrigerios y bienestar comercial;Pandebono Juan; $6.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
19/05/2026;2026;5;19;Domicilios entrega almacen;CONALCO CANTA CLARO; $5.000 ;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
20/05/2026;2026;5;20;GASTOS CASA/PERSONALES;PROTEINA JUAN; $133.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
21/05/2026;2026;5;21;Refrigerios y bienestar comercial;juan; $20.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
21/05/2026;2026;5;21;GASTOS CASA/PERSONALES;almuerzo familiar; $113.000 ;GASTOS CASA/PERSONALES;Juan;BBVA;ACT
21/05/2026;2026;5;21;Domicilios mandados taller;richard; $5.000 ;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
21/05/2026;2026;5;21;Domicilios mandados taller;del dia 20 taller; $5.000 ;LOGÍSTICA Y TRANSPORTE;Juan;efectivo;ACT
21/05/2026;2026;5;21;Fotografías;fotocopias - clelia ; $2.000 ;COMERCIALES Y MARKETING;Juan;efectivo;ACT
22/05/2026;2026;5;22;Plan celular clelia/juan;Celular Clelia; $150.000 ;GASTOS OPERACIONALES;Juan;BBVA;ACT
22/05/2026;2026;5;22;Tela;Almacen SI SA; $150.000 ;COSTOS DIRECTOS;Clelia;BANCOLOMBIA;ACT
22/05/2026;2026;5;22;Pérdidas extraordinarias;ajuste (No se en que putas se fue esto); $115.000.000 ;GASTOS NO OPERACIONALES;;;ACT
22/05/2026;2026;5;22;Refrigerios y bienestar comercial;hidratacion juan; $5.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
22/05/2026;2026;5;22;Refrigerios operarias;panochas; $25.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
22/05/2026;2026;5;22;Tela;baratillo medellin - jean -diac; $190.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/02/2026;2026;2;1;Bordadora-cindy;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
28/02/2026;2026;2;28;Bordadora-cindy;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/03/2026;2026;3;1;Bordadora-cindy;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
28/03/2026;2026;3;28;Bordadora-cindy;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/04/2026;2026;4;1;Bordadora-cindy;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
28/04/2026;2026;4;28;Bordadora-cindy;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
2/05/2026;2026;5;2;Bordadora-cindy;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/05/2026;2026;5;15;Bordadora-cindy;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/01/2026;2026;1;1;Coordinador de taller-Betty;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/01/2026;2026;1;15;Coordinador de taller-Betty;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/02/2026;2026;2;1;Coordinador de taller-Betty;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/02/2026;2026;2;15;Coordinador de taller-Betty;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/03/2026;2026;3;1;Coordinador de taller-Betty;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/03/2026;2026;3;15;Coordinador de taller-Betty;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/04/2026;2026;4;1;Coordinador de taller-Betty;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
15/04/2026;2026;4;15;Coordinador de taller-Betty;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/01/2026;2026;1;1;Salud Betty;Salud Betty; $670.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
1/02/2026;2026;2;1;Salud Betty;Salud Betty; $670.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
1/03/2026;2026;3;1;Salud Betty;Salud Betty; $670.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
1/04/2026;2026;4;1;Salud Betty;Salud Betty; $670.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
1/01/2026;2026;1;1;Nómina Yaneth;pago de nomina quincenal de yaneth; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/01/2026;2026;1;15;Nómina Yaneth;pago de nomina quincenal de yaneth; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/02/2026;2026;2;1;Nómina Yaneth;pago de nomina quincenal de yaneth; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/02/2026;2026;2;15;Nómina Yaneth;pago de nomina quincenal de yaneth; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/03/2026;2026;3;1;Nómina Yaneth;pago de nomina quincenal de yaneth; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/03/2026;2026;3;15;Nómina Yaneth;pago de nomina quincenal de yaneth; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/04/2026;2026;4;1;Nómina Yaneth;pago de nomina quincenal de yaneth; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
15/04/2026;2026;4;15;Nómina Yaneth;pago de nomina quincenal de yaneth; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
25/05/2026;2026;5;25;Refrigerios y bienestar comercial;Pandebono Juan; $6.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/06/2026;2026;6;1;Nómina Yaneth;FCST; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
15/06/2026;2026;6;15;Nómina Yaneth;FCST; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/07/2026;2026;7;1;Nómina Yaneth;FCST; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
15/07/2026;2026;7;15;Nómina Yaneth;FCST; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/08/2026;2026;8;1;Nómina Yaneth;FCST; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
15/08/2026;2026;8;15;Nómina Yaneth;FCST; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/09/2026;2026;9;1;Nómina Yaneth;FCST; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
15/09/2026;2026;9;15;Nómina Yaneth;FCST; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/10/2026;2026;10;1;Nómina Yaneth;FCST; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
15/10/2026;2026;10;15;Nómina Yaneth;FCST; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/11/2026;2026;11;1;Nómina Yaneth;FCST; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
15/11/2026;2026;11;15;Nómina Yaneth;FCST; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/12/2026;2026;12;1;Nómina Yaneth;FCST; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
15/12/2026;2026;12;15;Nómina Yaneth;FCST; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/01/2027;2027;1;1;Nómina Yaneth;FCST; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;FCST
1/06/2026;2026;6;1;Bordadora-cindy;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/06/2026;2026;6;15;Bordadora-cindy;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/07/2026;2026;7;1;Bordadora-cindy;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/07/2026;2026;7;15;Bordadora-cindy;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/08/2026;2026;8;1;Bordadora-cindy;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/08/2026;2026;8;15;Bordadora-cindy;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/09/2026;2026;9;1;Bordadora-cindy;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/09/2026;2026;9;15;Bordadora-cindy;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/10/2026;2026;10;1;Bordadora-cindy;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/10/2026;2026;10;15;Bordadora-cindy;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/11/2026;2026;11;1;Bordadora-cindy;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/11/2026;2026;11;15;Bordadora-cindy;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/12/2026;2026;12;1;Bordadora-cindy;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/12/2026;2026;12;15;Bordadora-cindy;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/01/2027;2027;1;1;Bordadora-cindy;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
9/06/2026;2026;6;9;Salud Betty;Salud Betty; $679.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
15/06/2026;2026;6;15;Salud Betty;FCST; $1.000.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/07/2026;2026;7;1;Salud Betty;FCST; $1.000.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
15/07/2026;2026;7;15;Salud Betty;FCST; $1.000.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/08/2026;2026;8;1;Salud Betty;FCST; $1.000.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
15/08/2026;2026;8;15;Salud Betty;FCST; $1.000.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/09/2026;2026;9;1;Salud Betty;FCST; $1.000.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
15/09/2026;2026;9;15;Salud Betty;FCST; $1.000.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/10/2026;2026;10;1;Salud Betty;FCST; $1.000.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
15/10/2026;2026;10;15;Salud Betty;FCST; $1.000.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/11/2026;2026;11;1;Salud Betty;FCST; $1.000.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
15/11/2026;2026;11;15;Salud Betty;FCST; $1.000.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/12/2026;2026;12;1;Salud Betty;FCST; $1.000.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
15/12/2026;2026;12;15;Salud Betty;FCST; $1.000.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/01/2027;2027;1;1;Salud Betty;FCST; $1.000.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
1/06/2026;2026;6;1;Coordinador de taller-Betty;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/06/2026;2026;6;15;Coordinador de taller-Betty;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/07/2026;2026;7;1;Coordinador de taller-Betty;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/07/2026;2026;7;15;Coordinador de taller-Betty;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/08/2026;2026;8;1;Coordinador de taller-Betty;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/08/2026;2026;8;15;Coordinador de taller-Betty;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/09/2026;2026;9;1;Coordinador de taller-Betty;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/09/2026;2026;9;15;Coordinador de taller-Betty;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/10/2026;2026;10;1;Coordinador de taller-Betty;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/10/2026;2026;10;15;Coordinador de taller-Betty;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/11/2026;2026;11;1;Coordinador de taller-Betty;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/11/2026;2026;11;15;Coordinador de taller-Betty;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/12/2026;2026;12;1;Coordinador de taller-Betty;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/12/2026;2026;12;15;Coordinador de taller-Betty;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/01/2027;2027;1;1;Coordinador de taller-Betty;FCST; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/06/2026;2026;6;1;Operarias;nomina-quincena; $2.719.124 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
12/06/2026;2026;6;12;Operarias;nomina-quincena; $3.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
1/07/2026;2026;7;1;Operarias;FCST; $5.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/07/2026;2026;7;15;Operarias;FCST; $5.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/08/2026;2026;8;1;Operarias;FCST; $5.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/08/2026;2026;8;15;Operarias;FCST; $5.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/09/2026;2026;9;1;Operarias;FCST; $5.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/09/2026;2026;9;15;Operarias;FCST; $5.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/10/2026;2026;10;1;Operarias;FCST; $5.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/10/2026;2026;10;15;Operarias;FCST; $5.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/11/2026;2026;11;1;Operarias;FCST; $5.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/11/2026;2026;11;15;Operarias;FCST; $5.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/12/2026;2026;12;1;Operarias;FCST; $5.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
15/12/2026;2026;12;15;Operarias;FCST; $5.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
1/01/2027;2027;1;1;Operarias;FCST; $5.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;FCST
9/06/2026;2026;6;9;Arriendo almacen;Arriendo almacen; $900.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/07/2026;2026;7;5;Arriendo almacen;FCST; $900.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/08/2026;2026;8;5;Arriendo almacen;FCST; $900.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/09/2026;2026;9;5;Arriendo almacen;FCST; $900.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/10/2026;2026;10;5;Arriendo almacen;FCST; $900.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/11/2026;2026;11;5;Arriendo almacen;FCST; $900.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/12/2026;2026;12;5;Arriendo almacen;FCST; $900.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/01/2027;2027;1;5;Arriendo almacen;FCST; $900.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/02/2026;2026;2;5;Agua almacen;Servico agua; $150.630 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/03/2026;2026;3;5;Agua almacen;Servico agua; $150.630 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/04/2026;2026;4;5;Agua almacen;Servico agua; $150.630 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
6/05/2026;2026;5;6;Agua almacen;Servico agua; $150.630 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/06/2026;2026;6;5;Agua almacen;Servico agua; $150.630 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/07/2026;2026;7;5;Agua almacen;FCST; $80.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/08/2026;2026;8;5;Agua almacen;FCST; $80.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/09/2026;2026;9;5;Agua almacen;FCST; $80.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/06/2026;2026;6;5;Energía almacen;FCST; $200.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/07/2026;2026;7;5;Energía almacen;FCST; $200.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/08/2026;2026;8;5;Energía almacen;FCST; $200.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/09/2026;2026;9;5;Energía almacen;FCST; $200.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/10/2026;2026;10;5;Energía almacen;FCST; $200.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/11/2026;2026;11;5;Energía almacen;FCST; $200.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/12/2026;2026;12;5;Energía almacen;FCST; $200.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/01/2027;2027;1;5;Energía almacen;FCST; $200.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
17/06/2026;2026;6;17;Internet almacen;Pago internet almacen; $74.417 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BANCOLOMBIA;ACT
5/08/2026;2026;8;5;Internet almacen;FCST; $70.693 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/09/2026;2026;9;5;Internet almacen;FCST; $70.693 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/10/2026;2026;10;5;Internet almacen;FCST; $70.693 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/11/2026;2026;11;5;Internet almacen;FCST; $70.693 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/12/2026;2026;12;5;Internet almacen;FCST; $70.693 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/01/2027;2027;1;5;Internet almacen;FCST; $70.693 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/07/2026;2026;7;5;Funeraria los olivos;FCST; $60.000 ;GASTOS NO OPERACIONALES;Juan;EFECTIVO;FCST
5/08/2026;2026;8;5;Funeraria los olivos;FCST; $60.000 ;GASTOS NO OPERACIONALES;Juan;EFECTIVO;FCST
5/09/2026;2026;9;5;Funeraria los olivos;FCST; $60.000 ;GASTOS NO OPERACIONALES;Juan;EFECTIVO;FCST
5/10/2026;2026;10;5;Funeraria los olivos;FCST; $60.000 ;GASTOS NO OPERACIONALES;Juan;EFECTIVO;FCST
5/11/2026;2026;11;5;Funeraria los olivos;FCST; $60.000 ;GASTOS NO OPERACIONALES;Juan;EFECTIVO;FCST
5/12/2026;2026;12;5;Funeraria los olivos;FCST; $60.000 ;GASTOS NO OPERACIONALES;Juan;EFECTIVO;FCST
5/01/2027;2027;1;5;Funeraria los olivos;FCST; $60.000 ;GASTOS NO OPERACIONALES;Juan;EFECTIVO;FCST
5/06/2026;2026;6;5;Agua taller;agua taller; $89.823 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
5/07/2026;2026;7;5;Agua taller;FCST; $100.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/08/2026;2026;8;5;Agua taller;FCST; $100.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/09/2026;2026;9;5;Agua taller;FCST; $100.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/10/2026;2026;10;5;Agua taller;FCST; $100.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/11/2026;2026;11;5;Agua taller;FCST; $100.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/12/2026;2026;12;5;Agua taller;FCST; $100.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/01/2027;2027;1;5;Agua taller;FCST; $100.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/06/2026;2026;6;5;Energía taller;FCST; $1.200.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
5/07/2026;2026;7;5;Energía taller;FCST; $1.200.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;FCST
